날짜,시군구지역코드,발생건수(건)
2023-10-02,47130,2261
2023-10-02,47150,827
2023-10-02,47170,1010
2023-10-02,47190,4578
2023-10-02,47210,626
2023-10-02,47230,902
2023-10-02,47250,611
2023-10-02,47280,632
2023-10-02,47290,2760
2023-10-02,47730,229
2023-10-02,47750,104
2023-10-02,47760,48
2023-10-02,47770,124
2023-10-02,47820,169
2023-10-02,47830,188
2023-10-02,47840,350
2023-10-02,47850,977
2023-10-02,47900,412
2023-10-02,47920,123
2023-10-02,47930,211
2023-10-02,47940,29
2023-10-02,48121,2339
2023-10-02,48123,2398
2023-10-02,48125,1814
2023-10-02,48127,1692
2023-10-02,48129,2284
2023-10-02,48170,2705
2023-10-02,48220,1115
2023-10-02,48240,1066
2023-10-02,48250,6156
2023-10-02,48270,909
2023-10-02,48310,2976
2023-10-02,48330,4400
2023-10-02,48720,184
2023-10-02,48730,539
2023-10-02,48740,542
2023-10-02,48820,371
2023-10-02,48840,251
2023-10-02,48850,223
2023-10-02,48860,210
2023-10-02,48870,213
2023-10-02,48880,491
2023-10-02,48890,324
2023-10-02,49110,3644
2023-10-02,49130,1441
2023-10-03,11110,251
2023-10-03,11140,243
2023-10-03,11170,417
2023-10-03,11200,683
2023-10-03,11215,623
2023-10-03,11230,794
2023-10-03,11260,841
2023-10-03,11290,1102
2023-10-03,11305,608
2023-10-03,11320,738
2023-10-03,11350,1446
2023-10-03,11380,1287
2023-10-03,11410,751
2023-10-03,11440,975
2023-10-03,11470,1331
2023-10-03,11500,1871
2023-10-03,11530,1051
2023-10-03,11545,413
2023-10-03,11560,1043
2023-10-03,11590,934
2023-10-03,11620,934
2023-10-03,11650,1416
2023-10-03,11680,1642
2023-10-03,11710,2147
2023-10-03,11740,1504
2023-10-03,26110,53
2023-10-03,26140,225
2023-10-03,26170,157
2023-10-03,26200,193
2023-10-03,26230,661
2023-10-03,26260,731
2023-10-03,26290,644
2023-10-03,26320,475
2023-10-03,26350,1096
2023-10-03,26380,920
2023-10-03,26410,502
2023-10-03,26440,831
2023-10-03,26470,382
2023-10-03,26500,383
2023-10-03,26530,529
2023-10-03,26710,585
2023-10-03,27110,229
2023-10-03,27140,1279
2023-10-03,27170,199
2023-10-03,27200,222
2023-10-03,27230,1512
2023-10-03,27260,1273
2023-10-03,27290,1377
2023-10-03,27710,1203
2023-10-03,28110,617
2023-10-03,28140,110
2023-10-03,28185,2047
2023-10-03,28200,2008
2023-10-03,28237,1274
2023-10-03,28245,830
2023-10-03,28260,2871
2023-10-03,28710,111
2023-10-03,28720,47
2023-10-03,29110,273
2023-10-03,29140,1042
2023-10-03,29155,754
2023-10-03,29170,1313
2023-10-03,29200,1816
2023-10-03,30110,1100
2023-10-03,30140,853
2023-10-03,30170,2861
2023-10-03,30200,2242
2023-10-03,30230,1040
2023-10-03,31110,772
2023-10-03,31140,883
2023-10-03,31170,628
2023-10-03,31200,1256
2023-10-03,31710,695
2023-10-03,36110,3161
2023-10-03,41111,1235
2023-10-03,41113,1705
2023-10-03,41115,841
2023-10-03,41117,1993
2023-10-03,41131,694
2023-10-03,41133,559
2023-10-03,41135,1494
2023-10-03,41150,2024
2023-10-03,41171,688
2023-10-03,41173,1447
2023-10-03,41190,2687
2023-10-03,41210,1074
2023-10-03,41220,3321
2023-10-03,41250,329
2023-10-03,41271,1208
2023-10-03,41273,1528
2023-10-03,41281,2127
2023-10-03,41285,1125
2023-10-03,41287,1431
2023-10-03,41290,371
2023-10-03,41310,601
2023-10-03,41360,2475
2023-10-03,41370,1392
2023-10-03,41390,3182
2023-10-03,41410,1274
2023-10-03,41430,618
2023-10-03,41450,1978
2023-10-03,41461,757
2023-10-03,41463,1371
2023-10-03,41465,1906
2023-10-03,41480,2634
2023-10-03,41500,911
2023-10-03,41550,744
2023-10-03,41570,2860
2023-10-03,41590,7373
2023-10-03,41610,1283
2023-10-03,41630,1179
2023-10-03,41650,277
2023-10-03,41670,268
2023-10-03,41800,82
2023-10-03,41820,147
2023-10-03,41830,150
2023-10-03,42110,0
2023-10-03,42750,0
2023-10-03,43111,1069
2023-10-03,43112,844
2023-10-03,43113,1512
2023-10-03,43114,883
2023-10-03,43130,852
2023-10-03,43150,343
2023-10-03,43720,62
2023-10-03,43730,131
2023-10-03,43740,138
2023-10-03,43745,120
2023-10-03,43750,440
2023-10-03,43760,67
2023-10-03,43770,325
2023-10-03,43800,33
2023-10-03,44131,1028
2023-10-03,44133,2536
2023-10-03,44150,251
2023-10-03,44180,345
2023-10-03,44200,1665
2023-10-03,44210,563
2023-10-03,44230,322
2023-10-03,44250,179
2023-10-03,44270,381
2023-10-03,44710,160
2023-10-03,44760,102
2023-10-03,44770,159
2023-10-03,44790,59
2023-10-03,44800,272
2023-10-03,44810,228
2023-10-03,44825,155
2023-10-03,45111,910
2023-10-03,45113,1111
2023-10-03,45130,1380
2023-10-03,45140,949
2023-10-03,45180,214
2023-10-03,45190,77
2023-10-03,45210,219
2023-10-03,45710,234
2023-10-03,45720,47
2023-10-03,45730,69
2023-10-03,45740,23
2023-10-03,45750,101
2023-10-03,45770,34
2023-10-03,45790,59
2023-10-03,45800,142
2023-10-03,46110,1203
2023-10-03,46130,1048
2023-10-03,46150,1083
2023-10-03,46170,514
2023-10-03,46230,479
2023-10-03,46710,75
2023-10-03,46720,29
2023-10-03,46730,43
2023-10-03,46770,82
2023-10-03,46780,56
2023-10-03,46790,109
2023-10-03,46800,79
2023-10-03,46810,76
2023-10-03,46820,156
2023-10-03,46830,184
2023-10-03,46840,601
2023-10-03,46860,76
2023-10-03,46870,144
2023-10-03,46880,68
2023-10-03,46890,123
2023-10-03,46900,90
2023-10-03,46910,137
2023-10-03,47111,591
2023-10-03,47113,857
2023-10-03,47130,649
2023-10-03,47150,363
2023-10-03,47170,288
2023-10-03,47190,1735
2023-10-03,47210,240
2023-10-03,47230,409
2023-10-03,47250,121
2023-10-03,47280,151
2023-10-03,47290,941
2023-10-03,47730,87
2023-10-03,47750,31
2023-10-03,47760,11
2023-10-03,47770,36
2023-10-03,47820,67
2023-10-03,47830,49
2023-10-03,47840,81
2023-10-03,47850,297
2023-10-03,47900,90
2023-10-03,47920,40
2023-10-03,47930,82
2023-10-03,47940,7
2023-10-03,48121,530
2023-10-03,48123,757
2023-10-03,48125,602
2023-10-03,48127,676
2023-10-03,48129,566
2023-10-03,48170,558
2023-10-03,48220,344
2023-10-03,48240,266
2023-10-03,48250,2570
2023-10-03,48270,253
2023-10-03,48310,1120
2023-10-03,48330,1748
2023-10-03,48720,64
2023-10-03,48730,218
2023-10-03,48740,96
2023-10-03,48820,101
2023-10-03,48840,50
2023-10-03,48850,79
2023-10-03,48860,37
2023-10-03,48870,112
2023-10-03,48880,92
2023-10-03,48890,43
2023-10-03,49110,2064
2023-10-03,49130,541
2023-10-04,11110,1503
2023-10-04,11140,1462
2023-10-04,11170,2567
2023-10-04,11200,3541
2023-10-04,11215,4637
2023-10-04,11230,4607
2023-10-04,11260,4824
2023-10-04,11290,5808
2023-10-04,11305,3363
2023-10-04,11320,3491
2023-10-04,11350,6783
2023-10-04,11380,5992
2023-10-04,11410,3939
2023-10-04,11440,4864
2023-10-04,11470,5846
2023-10-04,11500,7613
2023-10-04,11530,5998
2023-10-04,11545,3270
2023-10-04,11560,5241
2023-10-04,11590,4819
2023-10-04,11620,5717
2023-10-04,11650,5061
2023-10-04,11680,6516
2023-10-04,11710,9354
2023-10-04,11740,6307
2023-10-04,26110,411
2023-10-04,26140,1209
2023-10-04,26170,1047
2023-10-04,26200,1273
2023-10-04,26230,5004
2023-10-04,26260,3666
2023-10-04,26290,3408
2023-10-04,26320,3569
2023-10-04,26350,5598
2023-10-04,26380,4001
2023-10-04,26410,2586
2023-10-04,26440,2534
2023-10-04,26470,2792
2023-10-04,26500,2031
2023-10-04,26530,2722
2023-10-04,26710,2930
2023-10-04,27110,1072
2023-10-04,27140,4461
2023-10-04,27170,1890
2023-10-04,27200,1355
2023-10-04,27230,5435
2023-10-04,27260,4999
2023-10-04,27290,7298
2023-10-04,27710,4283
2023-10-04,28110,1977
2023-10-04,28140,730
2023-10-04,28170,0
2023-10-04,28185,6087
2023-10-04,28200,7705
2023-10-04,28237,7259
2023-10-04,28245,3819
2023-10-04,28260,9740
2023-10-04,28710,660
2023-10-04,28720,199
2023-10-04,29110,1482
2023-10-04,29140,3493
2023-10-04,29155,2761
2023-10-04,29170,5789
2023-10-04,29200,5436
2023-10-04,30110,3369
2023-10-04,30140,2830
2023-10-04,30170,6577
2023-10-04,30200,5578
2023-10-04,30230,2316
2023-10-04,31110,2437
2023-10-04,31140,3805
2023-10-04,31170,2313
2023-10-04,31200,3691
2023-10-04,31710,3147
2023-10-04,36110,6956
2023-10-04,41111,3753
2023-10-04,41113,5559
2023-10-04,41115,2843
2023-10-04,41117,5800
2023-10-04,41131,3230
2023-10-04,41133,3270
2023-10-04,41135,6229
2023-10-04,41150,6232
2023-10-04,41171,3115
2023-10-04,41173,4609
2023-10-04,41190,11235
2023-10-04,41210,4203
2023-10-04,41220,8360
2023-10-04,41250,1133
2023-10-04,41271,4464
2023-10-04,41273,4788
2023-10-04,41281,7228
2023-10-04,41285,3483
2023-10-04,41287,3677
2023-10-04,41290,1132
2023-10-04,41310,2543
2023-10-04,41360,10051
2023-10-04,41370,3718
2023-10-04,41390,8870
2023-10-04,41410,3705
2023-10-04,41430,2249
2023-10-04,41450,5158
2023-10-04,41461,3654
2023-10-04,41463,6599
2023-10-04,41465,5724
2023-10-04,41480,6754
2023-10-04,41500,2822
2023-10-04,41550,2416
2023-10-04,41570,7982
2023-10-04,41590,16193
2023-10-04,41610,5499
2023-10-04,41630,4133
2023-10-04,41650,1632
2023-10-04,41670,1751
2023-10-04,41800,462
2023-10-04,41820,686
2023-10-04,41830,1518
2023-10-04,42110,1
2023-10-04,42130,0
2023-10-04,42150,1
2023-10-04,42170,0
2023-10-04,42190,0
2023-10-04,42720,2
2023-10-04,42750,1
2023-10-04,42830,0
2023-10-04,43111,2717
2023-10-04,43112,2603
2023-10-04,43113,4109
2023-10-04,43114,2814
2023-10-04,43130,2134
