날짜,시군구지역코드,발생건수(건)
2023-10-04,26530,362
2023-10-04,26710,361
2023-10-04,27110,192
2023-10-04,27140,712
2023-10-04,27170,321
2023-10-04,27200,321
2023-10-04,27230,869
2023-10-04,27260,821
2023-10-04,27290,1220
2023-10-04,27710,541
2023-10-04,28110,199
2023-10-04,28140,102
2023-10-04,28170,0
2023-10-04,28185,655
2023-10-04,28200,1134
2023-10-04,28237,953
2023-10-04,28245,556
2023-10-04,28260,1068
2023-10-04,28710,141
2023-10-04,28720,16
2023-10-04,29110,210
2023-10-04,29140,549
2023-10-04,29155,367
2023-10-04,29170,897
2023-10-04,29200,691
2023-10-04,30110,456
2023-10-04,30140,586
2023-10-04,30170,913
2023-10-04,30200,677
2023-10-04,30230,334
2023-10-04,31110,293
2023-10-04,31140,648
2023-10-04,31170,362
2023-10-04,31200,385
2023-10-04,31710,437
2023-10-04,36110,653
2023-10-04,41111,447
2023-10-04,41113,583
2023-10-04,41115,312
2023-10-04,41117,614
2023-10-04,41131,440
2023-10-04,41133,445
2023-10-04,41135,768
2023-10-04,41150,703
2023-10-04,41171,392
2023-10-04,41173,530
2023-10-04,41190,1275
2023-10-04,41210,466
2023-10-04,41220,851
2023-10-04,41250,142
2023-10-04,41271,427
2023-10-04,41273,518
2023-10-04,41281,673
2023-10-04,41285,375
2023-10-04,41287,453
2023-10-04,41290,126
2023-10-04,41310,390
2023-10-04,41360,1257
2023-10-04,41370,375
2023-10-04,41390,985
2023-10-04,41410,407
2023-10-04,41430,261
2023-10-04,41450,662
2023-10-04,41461,392
2023-10-04,41463,708
2023-10-04,41465,631
2023-10-04,41480,710
2023-10-04,41500,246
2023-10-04,41550,375
2023-10-04,41570,803
2023-10-04,41590,1466
2023-10-04,41610,683
2023-10-04,41630,450
2023-10-04,41650,256
2023-10-04,41670,119
2023-10-04,41800,109
2023-10-04,41820,119
2023-10-04,41830,249
2023-10-04,42110,0
2023-10-04,42130,0
2023-10-04,42150,0
2023-10-04,42170,0
2023-10-04,42190,0
2023-10-04,42720,0
2023-10-04,42750,0
2023-10-04,42830,0
2023-10-04,43111,354
2023-10-04,43112,468
2023-10-04,43113,500
2023-10-04,43114,404
2023-10-04,43130,381
2023-10-04,43150,277
2023-10-04,43720,54
2023-10-04,43730,121
2023-10-04,43740,93
2023-10-04,43745,47
