날짜,시도지역코드,발생건수(건)
2023-12-05,41,6632
2023-12-05,42,0
2023-12-05,43,1018
2023-12-05,44,1758
2023-12-05,45,1184
2023-12-05,46,1239
2023-12-05,47,1286
2023-12-05,48,1680
2023-12-05,49,389
2023-12-05,99,26812
2023-12-06,11,3874
2023-12-06,26,1440
2023-12-06,27,1175
2023-12-06,28,1525
2023-12-06,29,676
2023-12-06,30,641
2023-12-06,31,473
2023-12-06,41,5765
2023-12-06,42,0
2023-12-06,43,907
2023-12-06,44,1410
2023-12-06,45,1011
2023-12-06,46,1103
2023-12-06,47,1146
2023-12-06,48,1615
2023-12-06,49,267
2023-12-06,99,23641
2023-12-07,11,4102
2023-12-07,26,1609
2023-12-07,27,1201
2023-12-07,28,1663
2023-12-07,29,792
2023-12-07,30,740
2023-12-07,31,565
2023-12-07,41,6292
2023-12-07,42,0
2023-12-07,43,991
2023-12-07,44,1593
2023-12-07,45,1063
2023-12-07,46,1167
2023-12-07,47,1344
2023-12-07,48,1595
2023-12-07,49,377
2023-12-07,99,25802
2023-12-08,11,4711
2023-12-08,26,1665
2023-12-08,27,1308
2023-12-08,28,1716
2023-12-08,29,910
2023-12-08,30,777
2023-12-08,31,641
2023-12-08,41,7193
2023-12-08,42,0
2023-12-08,43,1104
2023-12-08,44,1760
2023-12-08,45,1241
2023-12-08,46,1387
2023-12-08,47,1385
2023-12-08,48,2101
2023-12-08,49,373
2023-12-08,99,29057
2023-12-09,11,3097
2023-12-09,26,1051
2023-12-09,27,892
2023-12-09,28,1202
2023-12-09,29,590
2023-12-09,30,526
2023-12-09,31,431
2023-12-09,41,4880
2023-12-09,42,0
2023-12-09,43,716
2023-12-09,44,1339
2023-12-09,45,708
2023-12-09,46,917
2023-12-09,47,869
2023-12-09,48,1379
2023-12-09,49,214
2023-12-09,99,19185
2023-12-10,11,344
2023-12-10,26,82
2023-12-10,27,95
2023-12-10,28,366
2023-12-10,29,67
2023-12-10,30,143
2023-12-10,31,21
2023-12-10,41,1025
2023-12-10,43,157
2023-12-10,44,315
2023-12-10,45,78
2023-12-10,46,128
2023-12-10,47,92
2023-12-10,48,266
2023-12-10,49,28
2023-12-10,99,3253
2023-12-11,11,5642
2023-12-11,26,2022
2023-12-11,27,1491
2023-12-11,28,2085
2023-12-11,29,1078
2023-12-11,30,955
2023-12-11,31,728
2023-12-11,41,8323
2023-12-11,42,0
2023-12-11,43,1157
2023-12-11,44,2116
2023-12-11,45,1509
2023-12-11,46,1715
2023-12-11,47,1611
