날짜,시군구지역코드,발생건수(건)
2023-10-02,46910,15
2023-10-02,47111,123
2023-10-02,47113,98
2023-10-02,47130,85
2023-10-02,47150,40
2023-10-02,47170,37
2023-10-02,47190,122
2023-10-02,47210,15
2023-10-02,47230,26
2023-10-02,47250,44
2023-10-02,47280,21
2023-10-02,47290,137
2023-10-02,47730,20
2023-10-02,47750,7
2023-10-02,47760,3
2023-10-02,47770,8
2023-10-02,47820,19
2023-10-02,47830,13
2023-10-02,47840,11
2023-10-02,47850,27
2023-10-02,47900,21
2023-10-02,47920,5
2023-10-02,47930,11
2023-10-02,47940,3
2023-10-02,48121,132
2023-10-02,48123,165
2023-10-02,48125,44
2023-10-02,48127,44
2023-10-02,48129,70
2023-10-02,48170,95
2023-10-02,48220,68
2023-10-02,48240,31
2023-10-02,48250,217
2023-10-02,48270,34
2023-10-02,48310,74
2023-10-02,48330,98
2023-10-02,48720,14
2023-10-02,48730,14
2023-10-02,48740,23
2023-10-02,48820,15
2023-10-02,48840,18
2023-10-02,48850,7
2023-10-02,48860,7
2023-10-02,48870,9
2023-10-02,48880,36
2023-10-02,48890,21
2023-10-02,49110,88
2023-10-02,49130,61
2023-10-03,11110,8
2023-10-03,11140,5
2023-10-03,11170,4
2023-10-03,11200,23
2023-10-03,11215,12
2023-10-03,11230,18
2023-10-03,11260,20
2023-10-03,11290,12
2023-10-03,11305,15
2023-10-03,11320,15
2023-10-03,11350,24
2023-10-03,11380,68
2023-10-03,11410,22
2023-10-03,11440,6
2023-10-03,11470,24
2023-10-03,11500,35
2023-10-03,11530,23
2023-10-03,11545,7
2023-10-03,11560,21
2023-10-03,11590,30
2023-10-03,11620,10
2023-10-03,11650,22
2023-10-03,11680,21
2023-10-03,11710,31
2023-10-03,11740,46
2023-10-03,26110,0
2023-10-03,26140,14
2023-10-03,26170,1
2023-10-03,26200,16
2023-10-03,26230,6
2023-10-03,26260,20
2023-10-03,26290,5
2023-10-03,26320,5
2023-10-03,26350,11
2023-10-03,26380,20
2023-10-03,26410,13
2023-10-03,26440,10
2023-10-03,26470,4
2023-10-03,26500,4
2023-10-03,26530,5
2023-10-03,26710,4
2023-10-03,27110,14
2023-10-03,27140,35
2023-10-03,27170,11
2023-10-03,27200,7
2023-10-03,27230,27
2023-10-03,27260,35
2023-10-03,27290,47
2023-10-03,27710,45
2023-10-03,28110,16
2023-10-03,28140,16
2023-10-03,28185,75
2023-10-03,28200,86
2023-10-03,28237,63
2023-10-03,28245,27
2023-10-03,28260,88
2023-10-03,28710,8
2023-10-03,28720,3
2023-10-03,29110,6
2023-10-03,29140,16
2023-10-03,29155,40
2023-10-03,29170,27
2023-10-03,29200,28
2023-10-03,30110,8
2023-10-03,30140,22
2023-10-03,30170,88
2023-10-03,30200,85
2023-10-03,30230,15
2023-10-03,31110,22
2023-10-03,31140,12
2023-10-03,31170,6
2023-10-03,31200,61
2023-10-03,31710,12
2023-10-03,36110,133
2023-10-03,41111,11
2023-10-03,41113,39
2023-10-03,41115,10
2023-10-03,41117,19
2023-10-03,41131,9
2023-10-03,41133,9
2023-10-03,41135,39
2023-10-03,41150,34
2023-10-03,41171,10
2023-10-03,41173,58
2023-10-03,41190,50
2023-10-03,41210,16
2023-10-03,41220,147
2023-10-03,41250,5
2023-10-03,41271,39
2023-10-03,41273,39
2023-10-03,41281,52
2023-10-03,41285,27
2023-10-03,41287,35
2023-10-03,41290,2
2023-10-03,41310,27
2023-10-03,41360,53
2023-10-03,41370,10
2023-10-03,41390,50
2023-10-03,41410,37
2023-10-03,41430,12
2023-10-03,41450,44
2023-10-03,41461,11
2023-10-03,41463,14
2023-10-03,41465,48
2023-10-03,41480,115
2023-10-03,41500,7
2023-10-03,41550,22
2023-10-03,41570,62
2023-10-03,41590,111
2023-10-03,41610,26
2023-10-03,41630,31
2023-10-03,41650,4
2023-10-03,41670,0
2023-10-03,41800,0
2023-10-03,41820,4
2023-10-03,41830,4
2023-10-03,42110,0
2023-10-03,42750,0
2023-10-03,43111,12
2023-10-03,43112,17
2023-10-03,43113,23
2023-10-03,43114,12
2023-10-03,43130,24
2023-10-03,43150,29
2023-10-03,43720,2
2023-10-03,43730,2
2023-10-03,43740,5
2023-10-03,43745,2
2023-10-03,43750,8
2023-10-03,43760,6
2023-10-03,43770,3
2023-10-03,43800,0
2023-10-03,44131,30
2023-10-03,44133,78
2023-10-03,44150,14
2023-10-03,44180,21
2023-10-03,44200,59
2023-10-03,44210,6
2023-10-03,44230,13
2023-10-03,44250,4
2023-10-03,44270,62
2023-10-03,44710,4
2023-10-03,44760,2
2023-10-03,44770,1
2023-10-03,44790,1
2023-10-03,44800,12
2023-10-03,44810,9
2023-10-03,44825,8
2023-10-03,45111,18
2023-10-03,45113,23
2023-10-03,45130,26
2023-10-03,45140,57
2023-10-03,45180,11
2023-10-03,45190,2
2023-10-03,45210,3
2023-10-03,45710,4
2023-10-03,45720,2
2023-10-03,45730,2
2023-10-03,45740,1
2023-10-03,45750,1
2023-10-03,45770,3
2023-10-03,45790,2
2023-10-03,45800,2
2023-10-03,46110,33
2023-10-03,46130,17
2023-10-03,46150,121
2023-10-03,46170,10
2023-10-03,46230,20
2023-10-03,46710,1
2023-10-03,46720,0
2023-10-03,46730,0
2023-10-03,46770,7
2023-10-03,46780,3
2023-10-03,46790,2
2023-10-03,46800,2
2023-10-03,46810,4
2023-10-03,46820,10
2023-10-03,46830,6
2023-10-03,46840,32
2023-10-03,46860,1
2023-10-03,46870,5
2023-10-03,46880,1
2023-10-03,46890,7
2023-10-03,46900,3
2023-10-03,46910,4
2023-10-03,47111,28
2023-10-03,47113,25
2023-10-03,47130,16
2023-10-03,47150,29
2023-10-03,47170,5
2023-10-03,47190,37
2023-10-03,47210,2
2023-10-03,47230,4
2023-10-03,47250,3
2023-10-03,47280,2
2023-10-03,47290,47
2023-10-03,47730,11
