날짜,시도지역코드,발생건수(건)
2023-11-12,31,25
2023-11-12,41,624
2023-11-12,43,38
2023-11-12,44,74
2023-11-12,45,29
2023-11-12,46,48
2023-11-12,47,52
2023-11-12,48,54
2023-11-12,49,62
2023-11-12,99,1604
2023-11-13,11,9014
2023-11-13,26,3204
2023-11-13,27,2652
2023-11-13,28,2343
2023-11-13,29,1151
2023-11-13,30,1363
2023-11-13,31,759
2023-11-13,41,12436
2023-11-13,42,0
2023-11-13,43,1410
2023-11-13,44,1998
2023-11-13,45,2013
2023-11-13,46,1601
2023-11-13,47,2380
2023-11-13,48,2729
2023-11-13,49,756
2023-11-13,99,47171
2023-11-14,11,7317
2023-11-14,26,2694
2023-11-14,27,2310
2023-11-14,28,1904
2023-11-14,29,902
2023-11-14,30,1099
2023-11-14,31,671
2023-11-14,41,10203
2023-11-14,42,1
2023-11-14,43,1206
2023-11-14,44,1665
2023-11-14,45,1714
2023-11-14,46,1431
2023-11-14,47,2082
2023-11-14,48,2405
2023-11-14,49,592
2023-11-14,99,39337
2023-11-15,11,6448
2023-11-15,26,2424
2023-11-15,27,1977
2023-11-15,28,1786
2023-11-15,29,833
2023-11-15,30,1031
2023-11-15,31,573
2023-11-15,41,9010
2023-11-15,42,0
2023-11-15,43,1066
2023-11-15,44,1372
2023-11-15,45,1467
2023-11-15,46,1208
2023-11-15,47,1856
2023-11-15,48,2219
2023-11-15,49,553
2023-11-15,99,34786
2023-11-16,11,5849
2023-11-16,26,2192
2023-11-16,27,1847
2023-11-16,28,1484
2023-11-16,29,720
2023-11-16,30,972
2023-11-16,31,538
2023-11-16,41,7995
2023-11-16,42,0
2023-11-16,43,893
2023-11-16,44,1490
2023-11-16,45,1328
2023-11-16,46,1178
2023-11-16,47,1932
2023-11-16,48,2060
2023-11-16,49,561
2023-11-16,99,32080
2023-11-17,11,7648
2023-11-17,26,2812
2023-11-17,27,2226
2023-11-17,28,1936
2023-11-17,29,919
2023-11-17,30,1194
2023-11-17,31,647
2023-11-17,41,10357
2023-11-17,42,0
2023-11-17,43,1190
2023-11-17,44,1598
2023-11-17,45,1622
2023-11-17,46,1328
2023-11-17,47,2319
2023-11-17,48,2603
2023-11-17,49,641
2023-11-17,99,40251
2023-11-18,11,4891
2023-11-18,26,1704
2023-11-18,27,1330
2023-11-18,28,1320
2023-11-18,29,603
2023-11-18,30,699
2023-11-18,31,417
2023-11-18,41,7119
